"EZ_ID","pop","N"
1,407.365118162706,56
2,367.498153552413,82
3,468.249478856102,83
4,481.19999396801,18
5,619.529583524913,57
6,533.832128837705,31
7,548.611995577812,18
8,357.400458548218,32
9,402.844122059643,49
10,430.13933724165,22
11,463.58342443034,242
12,526.176251331344,506
13,392.069483075291,912
14,441.607032876462,229
15,663.192249486223,224
16,498.881038121879,310
17,504.288503039628,142
18,452.234534949064,30
19,479.859542982653,108
20,618.091714650393,24
21,279.478241860867,20
22,399.948423054069,13
23,402.433814525604,68
24,453.477232219651,90
25,422.338389396667,14
26,381.350811362267,10
27,595.585356639698,1220
28,471.994840564206,97
29,338.881315294653,47
30,381.222312778234,40
31,419.472769111395,74
32,530.042992804199,79
33,684.027359738946,96
34,473.575270406902,52
35,469.085505444556,110
36,347.814626833424,38
37,101.183561882004,70
38,407.988573161885,97
39,390.379015594721,14
40,149.796305214986,91
41,26.4875151216984,16
42,384.894748531282,130
43,309.738774821162,68
44,28.5318280905485,689
45,231.632077842951,1018
46,0,719
47,0,876
48,353.899862647057,190
49,294.701261427253,1197
50,491.730217244476,719
51,418.942970909178,63
52,476.716858599335,116
53,381.754678606987,52
54,3.7013293504715,8
55,455.87165787071,137
56,175.702510237694,707
57,393.260064620525,644
58,520.933755908161,171
59,458.524790979922,52
60,48.6366941966116,745
61,182.376524090767,673
62,0.423136334866285,3
63,142.349828585982,1251
64,372.119444012642,33
65,0,69
66,450.061154176481,173
67,336.402286369354,104
68,309.85604557395,36
69,0.102443527430296,17
70,353.705631149933,105
71,645.146356254816,68
72,431.712216541171,58
73,428.990841537714,25
74,476.998540878296,13
75,387.158488750458,14
76,453.915406860411,368
77,435.938101926818,1027
78,21.9298986941576,1172
79,545.885199859738,686
80,485.368721870705,644
81,463.978241784498,686
82,604.023198891431,135
83,681.476454697549,87
84,660.039570625871,83
85,514.461109068245,84
86,419.505745511502,30
87,400.865670084953,12
88,347.029050946236,15
89,0,1223
90,0,1029
91,224.353995833546,823
92,120.863941635936,822
93,3.413873385638,901
94,283.76821256429,1049
95,0,1
96,1036.88793493807,102
97,2.6926326751709,2
98,8.02180144190788,907
99,0,1
100,168.497893489897,819
101,0,1047
102,6.51091426983476,1319
103,127.372459799051,1056
104,35.7992504909635,839
105,0,908
106,0,720
107,361.409647190943,85
108,0,1155
109,27.7791825830936,900
110,565.657250575721,483
111,1.92416927218437,900
112,503.248408874497,284
113,0,1102
114,100.401750555262,779
115,555.254881745204,184
116,557.270676493645,483
117,333.156159901991,1020
118,393.312051234767,266
119,618.046398367733,215
120,496.257803319022,285
121,0,747
122,610.495244400576,100
123,479.781492685899,406
124,486.313949148171,1138
125,518.355485532433,647
126,281.727940276265,26
127,35.742992747575,797
128,424.885802173987,138
129,420.008347991854,978
130,383.580969929695,740
131,540.46496832557,106
132,72.569384586066,816
133,9.39117920398712,728
134,506.153598655015,66
135,655.61427533254,51
136,358.851652959362,126
137,363.454845741391,29
138,537.861608937383,55
139,416.839099870995,135
140,432.381992384791,54
141,592.376027863473,100
142,593.722066774964,55
143,368.038978494704,29
144,474.947175236419,100
145,384.756481438875,22
146,387.569185318425,30
147,0,1144
148,0.755653174594045,819
149,0,786
150,2.80000669509172,1271
151,420.439483009279,378
152,91.1240267567337,906
153,138.749541336671,905
154,387.722828267142,470
155,369.118346840143,440
156,288.41974530369,913
157,444.442716911435,80
158,583.382977021858,80
159,448.783038729802,45
160,549.166254164651,96
161,567.495525123551,59
162,0.393439263105392,1
163,0,1220
164,4.73224318772554,910
165,0,899
166,50.2323567289859,668
167,470.768949450925,704
168,63.9454186074436,798
169,304.984116431326,752
170,0,894
171,0,922
172,0,690
173,136.710771176964,720
174,625.230510275811,92
175,0,1
176,194.555790327489,48
177,375.694967724383,72
178,361.412766974419,27
179,518.599044822156,18
180,720.467558909208,121
181,194.391629174352,32
182,385.470137812197,32
183,446.404541235417,88
184,402.259557388723,42
185,522.277791239321,28
186,438.450086675584,63
187,440.405127048492,34
188,610.5528261289,479
189,663.652894215658,1931
190,302.664725877345,782
191,96.9980701208115,164
192,0,1
193,380.667484864593,37
194,544.302837222815,61
195,367.726246908307,40
196,340.959849312901,48
197,460.536040652543,31
198,561.935564655811,58
199,492.515192009509,734
200,7.37341159582138,760
201,712.981888558716,144
202,0,10
203,563.333850106224,160
204,0,8
205,0,929
206,5.85762774944305,827
207,165.403426736593,747
208,291.671601274982,765
209,0,805
210,79.9728716015816,971
211,347.080323704053,604
212,393.556791869923,793
213,260.058782648295,861
214,32.6725034080446,690
215,398.893329013139,792
216,0,846
217,0,843
218,0,1223
219,633.829567603767,946
