"EZ_ID","pop","N"
1,102.306676063687,12
2,54.2922465205193,11
3,71.9732887744904,6
4,40.213493347168,1
5,115.797136306763,3
6,92.4346258342266,22
7,64.5752978660166,6
8,55.001423895359,8
9,54.3003041744232,4
10,62.6895341873169,5
11,92.0719799995422,6
12,95.9643874280155,24
13,71.3930560145527,15
14,93.0954496003687,8
15,57.8945391178131,9
16,78.8394027668983,30
17,94.8603332042694,6
18,38.9402015060186,16
19,38.4808502197266,1
20,85.9311617948115,8
21,94.868387684226,16
22,62.1898860707879,9
23,83.5457516312599,6
24,144.865287542343,6
25,60.9891242980957,2
26,53.7361869812012,2
27,50.8994846343994,2
28,96.3270356059074,5
29,67.7746469974518,8
30,95.8676824569702,3
31,76.679640442133,15
32,57.0564201641828,9
33,143.043991088867,2
34,55.2028923034668,1
35,66.4530034065247,3
36,64.8815320450813,6
37,73.8026428222656,3
38,68.725588798523,3
39,67.605411529541,3
40,67.4603554606438,3
41,50.2628388796002,19
42,42.5505509078503,8
43,47.51478266716,3
44,113.403665199876,12
45,29.8820924758911,2
46,100.976970978081,10
47,82.1274008806795,20
48,148.153283178806,6
49,63.5276508331299,2
50,77.3082275390625,4
51,76.7924650907516,6
52,85.2300457432866,10
53,49.3199570178986,10
54,31.3568558692932,2
55,70.5791149139404,3
56,45.6773713827133,5
57,15.8355741500854,1
58,7.47858190536499,1
59,116.135606765747,3
60,63.906415939331,3
61,138.05558681488,4
62,102.145500183105,2
63,45.4194904267788,4
64,52.2050133831799,42
65,88.1956882998347,44
66,101.91179275699,36
67,99.3087969794869,65
68,47.4583706595004,40
69,10.8632847256958,102
70,49.6100749094039,14
71,94.8361529707909,14
72,84.0937485694885,30
73,69.7087641060352,100
74,41.696315959096,80
75,95.4647415596992,16
76,68.2098236232996,100
77,0.507705450057983,90
78,92.8295064717531,28
79,68.8464701063931,29
80,74.4312307070941,69
81,27.956034578383,74
82,4.29534932971001,105
83,52.6240730341524,57
84,68.9109407085925,58
85,54.0424251928926,12
86,94.787800822407,49
87,93.3775064945221,16
88,55.5897183455527,12
89,87.0432771295309,35
90,96.6010339874774,50
91,84.6578682996333,23
92,66.912353893742,21
93,63.9628274329007,32
94,53.0431298688054,20
95,74.2217007111758,117
96,59.1678308472037,98
97,85.0608081053942,40
98,106.908260188997,24
99,94.9006248805672,92
100,53.1640135683119,80
101,53.3413067068905,35
102,60.642595205456,10
103,52.8255428373814,30
104,37.0463793780655,90
105,83.0622241944075,15
106,85.5604539681226,61
107,82.6915163844824,24
108,68.3871156908572,10
109,62.8668272085488,20
110,52.9706017952412,64
111,104.611498402432,25
112,114.394901692867,30
113,50.6174276471138,77
114,15.1505748648196,80
115,48.2239577267319,80
116,85.5675344467163,3
117,74.6903673671186,4
118,76.1901702880859,1
119,118.227609723806,7
120,79.7611427307129,2
121,88.052930355072,4
122,48.0580886602402,4
123,51.4790756106377,8
124,29.6461759805679,6
125,81.918005079031,15
126,97.2588855586946,16
127,92.1381174325943,32
128,60.6064693331718,11
129,51.4219383597374,15
130,80.1253821849823,19
131,61.1706821583211,25
132,80.860998749733,15
133,96.0876083374023,2
134,48.6080169677734,1
135,98.1730556488037,2
136,112.535484313965,1
137,70.590895742178,7
138,92.1381158232689,7
139,81.818021774292,2
140,70.1123869419098,9
141,84.9747549891472,34
142,79.7254343032837,4
143,87.0744857788086,2
144,29.2248020172119,1
145,63.8846168518066,3
146,66.0200576782227,3
147,110.171507954597,10
