"EZ_ID","pop","N"
1,947.89678902179,200
2,1257.48230147874,200
3,1163.79395101219,217
4,908.710778680164,492
5,967.20339379902,1508
6,923.883381509222,668
7,880.626022808254,315
8,483.858135640621,107
9,1107.38423931599,129
10,1489.48946727626,241
11,869.78499794309,1430
12,1532.69009572174,358
13,1277.29666055739,133
14,553.654554378241,113
15,894.565925121307,124
16,68.1960864290595,105
17,372.625799826346,2124
18,853.208873316646,363
19,45.5310192257166,44
20,3.88067595660686,4
21,52.2232476472855,27
22,240.856323259883,2783
23,1116.40739277238,3511
24,1058.60643186048,348
25,1121.88132602582,959
26,1138.00108151883,826
27,0.144545998424292,13
28,1437.86166603211,1928
29,0,61
30,0,2
31,0.0188590008765459,1
32,1029.37730936706,102
33,958.759105164558,156
34,1082.82832617546,3697
35,1765.10411801608,1855
36,1988.43155038357,332
37,473.604093208909,68
38,1285.11810149159,803
39,67.2373068928719,1950
40,2.66413199715316,3103
41,1014.65877281688,610
42,876.519098706543,907
43,0,1959
44,5.26785604655743,2543
45,1587.65616072901,3556
46,0,2127
47,1258.57274303585,1460
48,1224.54139190679,2324
49,1193.95057991147,1203
50,0,2471
51,0,2138
52,1550.71191287099,2617
53,942.850849233568,342
54,906.32224273379,2430
55,206.023956749588,2418
56,1331.70330828428,309
57,1357.00249179453,189
58,24.5541061162949,11
59,1327.69923880696,208
60,223.383433368756,149
61,1196.17826207355,218
62,2.28356598317623,2571
63,1478.70010083402,3642
64,368.359657665249,3272
65,1093.27710391209,226
66,1009.12413819134,218
67,0,2649
68,3.42320102825761,2144
69,6.1509859636426,2367
70,711.778535485617,1884
71,570.712889694609,1907
72,470.955494679511,110
73,0,1
74,1259.61011492182,165
75,879.10708833579,264
76,1278.02516159508,159
77,1173.96976557653,179
78,222.119212751044,1966
79,1036.61912669745,1800
80,179.265606679022,190
81,1519.85039157886,229
82,416.986525579356,69
83,1230.35800312459,1821
84,0,11
85,374.329965856392,176
86,716.956233191304,242
87,170.0847087726,2985
88,417.487760464661,2973
89,460.844261502847,1664
90,0,2565
91,0,3024
92,587.474109388888,2484
93,790.441448996775,2374
94,103.493883203715,3541
95,440.283810928464,2389
96,642.472792707384,3729
97,0,2322
98,931.968450449407,262
99,888.903494033962,2284
100,820.709690155461,1074
101,776.048689488322,216
102,0,2275
103,0,3079
104,0,2864
105,927.281678319909,269
106,1001.83020585775,2320
107,0,2450
108,10.1556099951267,2100
109,0,2514
110,2.02677199244499,3654
111,957.7417221223,1420
112,166.537730328739,2400
113,0,2371
114,0,2655
115,0,2450
116,430.976486809552,2062
117,0,2524
118,1169.19097432494,1004
119,1198.03114516893,2802
120,0,2833
121,877.563489723951,228
122,3.28123196959496,3
123,1562.16008107597,397
124,7.22637192159891,12
125,219.955358535051,30
126,659.780360267498,3438
127,0,2227
128,0,3266
129,0,3250
130,98.6924768723547,2139
131,6.60217206925154,2500
132,0,2500
133,477.755919354036,2954
134,0,1974
135,0,2325
136,0,2249
137,984.475998730399,703
138,475.991248235106,2200
139,899.403733652085,1194
140,797.739760279655,783
141,3.78028202801943,2080
142,0,1957
143,1407.93154658936,1338
144,0,2441
145,229.391833544709,2645
146,32.6624910160899,2500
147,441.728310365696,1953
148,0,3501
149,0,2300
150,1203.60563358665,282
151,128.796404629946,2397
152,190.301211275626,1978
153,13.3831059960648,3588
154,991.829243510962,436
155,0,3192
156,0,2130
157,926.543899431825,303
158,910.459066188894,1781
159,979.90586964041,2142
160,0,2208
161,1017.94111397583,645
162,985.683596575167,3376
163,998.944416254759,94
164,1555.78455355763,221
165,870.684272766113,80
166,1459.30523586273,99
167,1036.14594531059,52
168,922.718150451779,130
169,2.30356301367283,6
170,989.440077245235,39
171,806.106439784169,78
172,837.308508209884,65
173,1011.93082475662,77
174,901.934993386269,66
175,0,1
176,1018.74307640735,110
177,156.171508185565,39
178,452.313745097723,1391
179,1014.53154371679,131
180,1093.70318412781,54
181,1128.58228692506,285
182,1023.27221652865,59
183,1111.76008401474,146
184,1469.6532792747,93
185,872.748640060425,67
186,1300.54236221313,62
187,1127.25173699856,152
188,956.19996547699,41
189,1044.72766971588,58
190,975.598737686872,90
191,1007.59800789505,84
192,869.960881009698,141
193,1145.32576060295,68
194,1112.11832714081,48
195,1143.31591367722,57
196,995.478697180748,66
197,988.217581272125,36
198,1006.15527582169,54
199,1000.84582832456,84
200,1317.9072842598,54
201,61.1606119303033,2309
202,1102.60113549232,99
203,1147.58037918387,1026
204,569.155383557081,73
205,1257.9142832756,62
206,1012.67991384864,505
207,0,4
208,6.16717392206192,4
209,241.831172261387,150
210,506.112989135087,2647
211,983.024059250951,283
212,1179.89442668902,560
213,438.482589675114,3252
214,964.296158062294,1595
215,955.747279522708,449
216,1309.82874787133,1095
217,968.816895127296,129
218,11.18674195325,43
219,1565.61269607395,233
220,1531.95505711436,184
221,1505.84078916395,244
222,1564.82053580042,257
223,1036.38157519698,192
224,1343.69726409391,280
225,959.89642739296,79
226,1108.99742101133,123
227,119.650267499499,41
228,1044.60192759521,1340
229,820.488115742803,108
230,951.327674916014,352
231,612.125938274898,2101
232,909.028165039606,390
233,1034.78460373916,760
234,1046.92360855779,1537
235,831.134778432548,444
236,981.421126989648,143
237,115.697939224541,2120
238,86.2125468254089,13
239,963.411970704794,127
240,1696.64960342087,336
241,1053.64424368739,139
242,1021.32966089249,86
243,1006.08915244788,279
244,133.455675549805,77
245,75.9139925315976,32
246,903.229337147437,796
247,0.111347999423742,66
248,1226.50667411601,2017
249,821.731225859374,2781
250,1430.3395328077,788
251,1277.08253301214,3046
252,186.947868190706,1914
253,1517.71755013801,1517
254,74.7819884866476,1965
255,911.93460014835,1367
256,813.408866595477,137
257,846.385609179735,88
258,943.478291511536,54
259,874.480080619454,121
260,912.516963422298,96
261,846.257519006729,51
262,800.393207550049,40
263,1078.51236710511,462
264,3.11283600330353,3030
265,963.853072941303,1260
266,938.481681160629,101
267,1297.01160271466,221
268,1415.79855278134,237
269,2352.85373740457,154
270,944.116042256355,77
271,932.075159691274,203
272,1272.63684893399,93
273,1358.65299034119,133
274,1756.71262127161,212
275,1214.31899897754,169
276,1398.13276623189,98
277,1031.76054096222,45
278,1096.04597018659,90
