"EZ_ID","pop","N"
1,495.954521869775,127
2,495.834356322885,87
3,508.58390828222,119
4,548.569454409182,124
5,466.488285541534,59
6,414.320479393005,44
7,439.422035694122,57
8,514.819282998331,419
9,420.715180844069,300
10,179.213697033934,735
11,583.437392055988,193
12,396.218471052358,596
13,633.156491801143,279
14,496.945148140192,348
15,455.917912870646,113
16,503.130175113678,66
17,420.410559669137,92
18,380.842010630295,105
19,465.360910177231,45
20,496.67862868309,53
21,402.903205275536,47
22,411.406352683902,69
23,439.112630299991,1067
24,430.672367643099,363
25,483.78993549943,74
26,527.431620940566,92
27,586.633662283421,62
28,506.646620869637,70
29,366.300886154175,43
30,471.401766788214,101
31,406.614899709821,40
32,479.011055238545,95
33,430.376788294874,151
34,68.1960864290595,105
35,495.563058897853,283
36,357.645814418793,80
37,45.5310192257166,44
38,334.432321715169,1117
39,38.1934781111777,1007
40,3.88067595660686,4
41,52.2232476472855,27
42,10.0570641234517,1025
43,22.0451869405806,914
44,0,844
45,377.13560098689,976
46,12.3694840250537,756
47,465.402790451888,598
48,498.566206890158,103
49,400.272276863456,117
50,0.144545998424292,13
51,336.949441451579,701
52,361.590700104833,220
53,460.976188268047,892
54,463.498771322425,790
55,493.372481955681,208
56,381.515487298835,176
57,392.000874754507,107
58,93.745787255466,727
59,214.939499996603,805
60,361.695149183273,87
61,0,61
62,392.45007889811,190
63,375.031150698662,119
64,0,2
65,0.0188590008765459,1
66,437.857744693756,35
67,591.519564673305,67
68,456.211225628853,85
69,502.547879535705,71
70,16.5118139181286,848
71,496.642073886003,710
72,434.00878840778,224
73,0,1295
74,474.547108502593,791
75,309.185956199653,906
76,383.044232878834,414
77,397.835121765733,186
78,336.157348632812,178
79,468.816110365093,123
80,621.921085715294,57
81,473.604093208909,68
82,452.544069297612,106
83,445.150285005569,46
84,129.837544798851,730
85,0,720
86,0,809
87,609.579909405671,426
88,503.123529398814,404
89,0.811109006404877,724
90,358.584438189864,240
91,429.193728804588,50
92,590.831513656303,150
93,125.664165092632,1013
94,143.136399537325,752
95,0,724
96,0,814
97,1.85302299074829,756
98,353.582051023841,1020
99,0,970
100,0,1286
101,6.20536505058408,1293
102,0,868
103,516.737050816417,1086
104,0,1310
105,0,900
106,339.675578268245,178
107,0,986
108,0.535213991999626,900
109,0,699
110,0,900
111,417.787043713033,144
112,8.12055395543575,941
113,492.378499008715,757
114,506.173450030386,132
115,387.860123809427,570
116,342.445898830891,109
117,610.762347519398,373
118,544.680218761321,722
119,510.563524439931,864
120,532.810249358416,189
121,0,925
122,53.2536140754819,720
123,393.060883240425,1180
124,441.816429793835,19
125,278.78953598137,1295
126,437.045063855359,123
127,604.164302490652,578
128,55.5823749154806,702
129,45.3635419346392,741
130,135.679859809577,1188
131,0.535334005951881,776
132,586.650758151663,716
133,627.220877408981,489
134,727.799591809511,98
135,370.178231932223,39
136,428.48979601264,63
137,740.869562134147,167
138,617.453421056271,69
139,675.984733153135,104
140,408.843734949827,182
141,408.623747140169,64
142,38.290579855442,45
143,796.049902915955,93
144,24.5541061162949,11
145,223.383433368756,149
146,0,759
147,2.28356598317623,1049
148,6.67779403924942,923
149,0,891
150,401.73691532528,1248
151,467.384919084609,394
152,96.4927608147264,1086
153,441.616609523539,921
154,429.208877697587,572
155,0,763
156,3.9418820142746,879
157,745.726339787245,110
158,399.383876293898,100
159,266.426824931055,76
160,690.86420109123,158
161,0,895
162,0,877
163,0,920
164,3.42320102825761,1201
165,19.2463610097766,778
166,0,757
167,551.916696806438,824
168,83.6955789998174,908
169,528.155695561669,719
170,0,877
171,0,750
172,9.90315804630518,750
173,95.724920719862,695
174,470.955494679511,110
175,0,1
176,728.241225258447,135
177,456.636825621128,44
178,414.253004412167,80
179,413.705880560912,82
180,465.821754756616,164
181,506.432444294682,80
182,365.920326285064,49
183,393.796434879303,50
184,421.719503831118,41
185,424.184730529785,42
186,179.265606679022,190
187,435.220149566652,1095
188,8.97738200007007,1204
189,395.660220534541,246
190,418.88058734723,1221
191,486.440696954727,67
192,416.986525579356,69
193,485.366448474117,82
194,548.043246150017,80
195,411.423962756991,153
196,398.0226925686,777
197,410.00900965929,92
198,10.9023381397128,799
199,716.956233191304,242
200,0,11
201,374.329965856392,176
202,131.277624061331,760
203,0,977
204,0.260910004377365,1155
205,339.140471483581,770
206,99.4461905509233,774
207,17.4472731370479,742
208,0,780
209,194.505354770459,810
210,266.338906732388,854
211,0,1065
212,0,908
213,0,862
214,0,780
215,132.122107932344,1253
216,524.233255175874,969
217,0,900
218,0,1077
219,362.46860772837,1290
220,2.57206501066685,899
221,4.66800995916128,937
222,370.753143723123,1126
223,413.973562984727,510
224,0,779
225,110.902500003576,968
226,0,1111
227,0,943
228,0,1261
229,0,729
230,10.113188251853,1336
231,632.359604455531,403
232,47.8263522461057,1267
233,0,1276
234,0,746
235,434.738492295146,282
236,423.282292570919,253
237,450.227049998939,116
238,464.79775737226,180
239,0,748
240,450.907014632598,938
241,341.516449902207,210
242,488.459290266037,80
243,315.875624842942,62
244,1.46770597994328,960
245,0,960
246,0,969
247,0,990
248,0,1259
249,400.139301352203,224
250,399.645446561277,467
251,0,881
252,0,870
253,0,870
254,0,985
255,5.14007613062859,951
256,353.394569706172,91
257,415.155532752164,252
258,354.169251695275,78
259,0,774
260,0,1027
261,0,900
