"EZ_ID","pop","N"
1,80.3702700138092,14
2,96.6481126397848,21
3,61.1718325018883,17
4,98.9123111963272,19
5,60.7441827356815,25
6,80.5174865722656,12
7,48.0035146474838,8
8,97.7446043491364,22
9,55.1853363513947,12
10,52.0432069301605,7
11,51.2752989656292,25
12,56.0860137939453,6
13,87.7129036560655,32
14,67.6729353666306,11
15,57.8915248960257,12
16,63.1727537214756,12
17,77.0542162656784,12
18,75.4098081588745,8
19,64.1175236701965,12
20,66.0496026277542,12
21,70.1886160373688,12
22,49.6918887346983,20
23,62.9160537719727,8
24,77.6232838630676,13
25,87.6864671707153,15
26,30.9428467750549,6
27,90.2430896759033,9
28,75.99547290802,12
29,56.2021211907268,26
30,71.177670955658,15
31,100.205873847008,13
32,74.7735865712166,16
33,75.0345330238342,8
34,86.8974275588989,8
35,52.8513340950012,8
36,57.6820647716522,8
37,77.9386281967163,8
38,46.5529320240021,8
39,63.5185645744205,15
40,58.221583366394,8
41,75.9705791473389,8
42,54.4067687988281,6
43,70.8387603759766,8
44,84.0872793197632,12
45,79.1688840389252,8
46,84.8864197731018,10
47,66.3224910497665,15
48,89.3643808364868,15
49,64.8514588549733,90
50,69.9970560781658,88
51,81.2154284417629,18
52,81.4063301458955,133
53,48.2840300127864,80
54,33.629572072532,80
55,93.7829047366977,100
56,10.8940948918462,83
57,78.4232678413391,15
58,84.7885994166136,50
59,29.3543122559786,100
60,35.5157688152976,100
61,98.5993378534913,100
62,15.4689119176473,100
63,23.0388651490211,100
64,4.18669901555404,119
65,39.1853066682816,8
66,88.3135816305876,24
67,82.7519900351763,32
68,89.3970331251621,50
69,73.5296120718122,33
70,61.3171697109938,18
71,58.8202083110809,12
72,60.4301626160741,128
73,14.6165400147438,145
74,69.9232646599412,73
75,66.0476800352335,54
76,51.9124204069376,20
77,91.6156947612762,50
78,57.876747995615,30
79,53.0235476791859,59
80,75.7547775506973,15
81,75.1936616450548,20
82,60.7188792228699,30
83,67.0162967815995,50
84,78.1379577070475,27
85,97.9018873954192,72
86,59.4034844040871,25
87,62.8303725421429,12
88,53.768167167902,10
89,87.7619748413563,32
90,44.7336324602365,12
91,73.2140058577061,15
92,62.9100462943316,16
93,76.4523478299379,20
94,93.3359098136425,48
95,118.756919398904,35
96,60.8391579687595,16
97,57.7736043930054,20
98,42.4572615623474,12
99,52.3755318038166,63
100,64.2478922232985,36
101,51.0137953683734,25
102,47.213846206665,8
103,61.4393463134766,14
104,75.2146964818239,21
105,69.5820656120777,50
106,59.3994054496288,27
107,6.36129200458527,80
108,32.417763274163,80
109,61.6769416332245,8
110,50.2183513641357,4
111,57.8657493591309,8
112,94.1188583374023,6
113,76.9261293411255,6
114,92.4062595367432,12
115,67.9227848052979,6
116,66.379316329956,6
117,86.8244309425354,12
118,84.6077260971069,6
119,72.6223691999912,16
120,69.6601161956787,6
121,98.5662899017334,12
122,49.883287191391,12
123,65.9216349124908,12
124,70.0678722858429,12
125,71.0574564933777,8
126,51.8745591640472,12
127,46.5366539116949,30
128,72.2108173370361,8
129,72.6423959732056,6
130,80.0113425254822,10
131,63.0176817178726,12
132,63.9858560562134,9
133,98.1824825555086,28
134,30.8975980132818,15
135,74.5843799114227,10
136,64.1548719406128,7
137,75.5274662971497,9
138,57.4187569618225,8
139,64.7910060882568,9
140,82.8530473709106,8
141,42.6014165878296,4
142,61.9865365028381,8
143,119.962479114532,12
144,35.9990952014923,6
145,49.7433281615376,25
146,57.3130030632019,12
147,57.0872530937195,8
148,62.3031562566757,9
149,71.8394961357117,8
150,41.7720030546188,8
151,67.2180104255676,12
152,49.7499575614929,6
153,76.9201490879059,14
154,50.8214682340622,12
155,47.6991032664664,105
156,10.2863041087985,96
157,9.64189710468054,100
158,43.2079579532146,104
159,58.3121540546417,118
160,61.3062418920454,89
161,0,90
162,42.5531810000539,111
163,25.5672900304198,100
164,58.4060084372759,21
165,58.8379291296005,15
166,64.7352548092604,30
167,55.0877981334925,29
168,58.1636669961736,30
169,51.2889215424657,30
170,42.876786082983,15
171,54.569209896028,149
172,46.7708275765181,20
173,25.9104049280286,98
174,54.5640610009432,80
175,69.7271430492401,15
176,66.6347184181213,10
177,56.9821833372116,9
178,59.1403937339783,9
179,61.8840730786324,12
180,83.7560560107231,20
181,60.8271619677544,14
182,84.8741521835327,12
183,92.8771960735321,14
184,62.1229889392853,8
185,65.1929340362549,6
186,88.9221762418747,13
187,79.8329343795776,12
188,76.738013625145,12
189,50.5056776851416,36
190,83.5546442270279,20
191,45.5971717834473,4
192,81.8794388771057,9
193,65.7539129257202,4
194,31.2163852155209,13
195,88.9851920520887,68
196,71.0387229919434,3
197,26.3498778343201,6
198,44.6965798139572,11
199,60.0036779642105,9
200,80.7198858261108,9
201,57.2741312980652,8
202,70.4125394821167,6
203,35.1845588684082,3
204,59.2483114302158,25
205,36.0988064408302,12
206,64.7604211121798,8
207,99.7343490123749,6
208,77.3913173675537,8
209,60.7080039978027,6
210,82.280032157898,9
211,69.9994504749775,14
212,41.7147746086121,4
213,60.2492662072182,8
214,12.600515127182,3
215,100.89651966095,12
216,68.7172346115112,8
217,84.2155847549438,8
218,52.0122353211045,18
219,62.766422867775,10
220,83.0018904209137,14
221,61.9141125679016,20
222,70.9123044013977,12
223,53.2242369651794,6
224,62.8631452769041,12
225,68.6376605033875,8
226,38.0915894508362,6
227,116.475188434124,15
228,68.8464183807373,3
229,57.4878288507462,10
230,66.3962078094482,6
231,35.3950080871582,3
232,55.5024120807648,6
233,75.1701040267944,6
234,58.3197135925293,6
235,72.0922241210938,6
236,51.8403166942298,33
237,73.6884832382202,6
238,64.8002462387085,6
239,87.4703775644302,10
240,68.1960864290595,105
241,30.3332665860653,128
